fs      200K    300K    400K    500K
22500   0.04917 0.09883 0.15632 0.22262
22550   0.04917 0.09886 0.15634 0.22262
22600   0.04918 0.09888 0.15636 0.22261
22650   0.04918 0.0989  0.15637 0.22261
22700   0.04919 0.09893 0.15639 0.2226
22750   0.04919 0.09895 0.15641 0.2226
22800   0.04919 0.09898 0.15642 0.2226
22850   0.0492  0.099   0.15644 0.22259
22900   0.0492  0.09902 0.15645 0.22259
22950   0.04921 0.09905 0.15647 0.22259
23000   0.04921 0.09907 0.15649 0.22258
23050   0.04921 0.09909 0.1565  0.22258
23100   0.04922 0.09912 0.15652 0.22258
23150   0.04922 0.09914 0.15653 0.22258
23200   0.04923 0.09916 0.15655 0.22257
23250   0.04923 0.09919 0.15657 0.22257
23300   0.04923 0.09921 0.15658 0.22257
23350   0.04924 0.09923 0.1566  0.22257
23400   0.04924 0.09926 0.15661 0.22257
23450   0.04925 0.09928 0.15663 0.22256
23500   0.04925 0.09931 0.15665 0.22256
23550   0.04926 0.09933 0.15666 0.22256
23600   0.04926 0.09935 0.15668 0.22256
23650   0.04926 0.09938 0.15669 0.22256
23700   0.04927 0.0994  0.15671 0.22256
23750   0.04927 0.09942 0.15672 0.22256
23800   0.04928 0.09945 0.15674 0.22256
23850   0.04928 0.09947 0.15675 0.22256
23900   0.04928 0.09949 0.15677 0.22256
23950   0.04929 0.09952 0.15679 0.22256
24000   0.04929 0.09954 0.1568  0.22256
24050   0.0493  0.09956 0.15682 0.22256
24100   0.0493  0.09959 0.15683 0.22256
24150   0.04931 0.09961 0.15685 0.22256
24200   0.04931 0.09963 0.15686 0.22256
24250   0.04931 0.09966 0.15688 0.22256
24300   0.04932 0.09968 0.15689 0.22256
24350   0.04932 0.09971 0.15691 0.22256
24400   0.04933 0.09973 0.15692 0.22256
24450   0.04933 0.09975 0.15694 0.22256
24500   0.04934 0.09978 0.15695 0.22257
24550   0.04934 0.0998  0.15697 0.22257
24600   0.04935 0.09982 0.15698 0.22257
24650   0.04935 0.09985 0.157   0.22257
24700   0.04935 0.09987 0.15701 0.22257
24750   0.04936 0.09989 0.15702 0.22258
24800   0.04936 0.09992 0.15704 0.22258
24850   0.04937 0.09994 0.15705 0.22258
24900   0.04937 0.09996 0.15707 0.22259
24950   0.04938 0.09999 0.15708 0.22259
25000   0.04938 0.10001 0.1571  0.22259
25050   0.04939 0.10004 0.15711 0.2226
25100   0.04939 0.10006 0.15713 0.2226
25150   0.0494  0.10008 0.15714 0.2226
25200   0.0494  0.10011 0.15715 0.22261
25250   0.04941 0.10013 0.15717 0.22261
25300   0.04941 0.10015 0.15718 0.22262
25350   0.04941 0.10018 0.1572  0.22262
25400   0.04942 0.1002  0.15721 0.22262
25450   0.04942 0.10022 0.15722 0.22263
25500   0.04943 0.10025 0.15724 0.22263
25550   0.04943 0.10027 0.15725 0.22264
25600   0.04944 0.10029 0.15727 0.22264
25650   0.04944 0.10032 0.15728 0.22265
25700   0.04945 0.10034 0.15729 0.22265
25750   0.04945 0.10036 0.15731 0.22266
25800   0.04946 0.10039 0.15732 0.22267
25850   0.04946 0.10041 0.15734 0.22267
